"Wahlkreisnummer 1994",AGS,Gebietskörperschaft,Wahlbezirksnummer,Wahlberechtigte,"darunter Wahlberechtigte mit Sperrvermerk",Wähler,Wahlbeteiligung,"Ungültige Zweitstimmen","Gültige Zweitstimmen",SPD,"Anteil SPD in %",CDU,"Anteil CDU in %",FDP,"Anteil FDP in %",BFWG,"Anteil BFWG in %",GRÜNE/B90,"Anteil GRÜNE/B90 in %",Bürger,"Anteil Bürger in %",DSU,"Anteil DSU in %",GRAUE,"Anteil GRAUE in %",REP,"Anteil REP in %",ÖDP,"Anteil ÖDP in %",PDS,"Anteil PDS in %",UWVB,"Anteil UWVB in %"
3,1206806409,Bückwitz,0001,164,2,118,"71,95",1,117,61,"52,14",32,"27,35",1,"0,85",0,"0,00",0,"0,00",1,"0,85",0,"0,00",0,"0,00",2,"1,71",0,"0,00",7,"5,98",13,"11,11"
3,1206806409,Bückwitz,0002,100,7,64,"64,00",2,62,40,"64,52",12,"19,35",0,"0,00",0,"0,00",0,"0,00",1,"1,61",0,"0,00",0,"0,00",1,"1,61",0,"0,00",7,"11,29",1,"1,61"
3,1206806808,Christdorf,0001,158,4,80,"50,63",1,79,50,"63,29",12,"15,19",0,"0,00",1,"1,27",1,"1,27",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",14,"17,72",1,"1,27"
3,1206808409,Dessow,0001,303,6,155,"51,16",3,152,86,"56,58",31,"20,39",2,"1,32",0,"0,00",4,"2,63",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",27,"17,76",2,"1,32"
3,1206810008,Dossow,0001,344,4,218,"63,37",12,206,108,"52,43",64,"31,07",3,"1,46",0,"0,00",4,"1,94",4,"1,94",0,"0,00",0,"0,00",2,"0,97",0,"0,00",21,"10,19",0,"0,00"
3,1206810408,Dranse,0001,284,11,132,"46,48",3,129,67,"51,94",26,"20,16",3,"2,33",0,"0,00",4,"3,10",3,"2,33",0,"0,00",0,"0,00",1,"0,78",0,"0,00",25,"19,38",0,"0,00"
3,1206810805,Dreetz,0006,956,17,455,"47,59",13,442,245,"55,43",79,"17,87",7,"1,58",0,"0,00",10,"2,26",8,"1,81",0,"0,00",0,"0,00",9,"2,04",1,"0,23",44,"9,95",39,"8,82"
3,1206811203,Drewen,0008,181,0,115,"63,54",2,113,53,"46,90",41,"36,28",3,"2,65",0,"0,00",3,"2,65",0,"0,00",0,"0,00",0,"0,00",1,"0,88",0,"0,00",12,"10,62",0,"0,00"
3,1206812008,Flecken Zechlin,0001,593,12,351,"59,19",5,346,231,"66,76",56,"16,18",13,"3,76",0,"0,00",5,"1,45",5,"1,45",1,"0,29",0,"0,00",6,"1,73",0,"0,00",27,"7,80",2,"0,58"
3,1206812808,Fretzdorf,0001,280,0,176,"62,86",3,173,105,"60,69",34,"19,65",1,"0,58",0,"0,00",7,"4,05",4,"2,31",0,"0,00",0,"0,00",1,"0,58",0,"0,00",18,"10,40",3,"1,73"
3,1206813208,Freyenstein,0001,989,26,461,"46,61",9,452,268,"59,29",111,"24,56",4,"0,88",0,"0,00",5,"1,11",3,"0,66",1,"0,22",0,"0,00",5,"1,11",1,"0,22",51,"11,28",3,"0,66"
3,1206813608,Gadow,0001,206,2,165,"80,10",2,163,96,"58,90",42,"25,77",2,"1,23",0,"0,00",1,"0,61",1,"0,61",0,"0,00",2,"1,23",1,"0,61",0,"0,00",18,"11,04",0,"0,00"
3,1206814009,Ganzer,0001,141,2,77,"54,61",0,77,42,"54,55",5,"6,49",2,"2,60",0,"0,00",1,"1,30",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",17,"22,08",10,"12,99"
3,1206814409,Gartow             01.05.97,0001,103,1,54,"52,43",0,54,36,"66,67",6,"11,11",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",1,"1,85",1,"1,85",8,"14,81",2,"3,70"
3,1206815205,Giesenhorst,0007,90,1,60,"66,67",2,58,26,"44,83",12,"20,69",1,"1,72",0,"0,00",4,"6,90",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",15,"25,86",0,"0,00"
3,1206815608,Goldbeck,0001,112,0,78,"69,64",1,77,37,"48,05",19,"24,68",1,"1,30",0,"0,00",0,"0,00",2,"2,60",0,"0,00",0,"0,00",1,"1,30",0,"0,00",16,"20,78",1,"1,30"
3,1206816402,Grabow bei Blumenthal,0001,218,0,131,"60,09",2,129,99,"76,74",18,"13,95",2,"1,55",2,"1,55",2,"1,55",0,"0,00",0,"0,00",0,"0,00",0,"0,00",1,"0,78",5,"3,88",0,"0,00"
3,1206816808,Groß Haßlow,0001,221,8,110,"49,77",0,110,68,"61,82",29,"26,36",6,"5,45",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",5,"4,55",2,"1,82"
3,1206818002,Heiligengrabe,0001,694,40,356,"51,30",5,351,226,"64,39",60,"17,09",6,"1,71",15,"4,27",2,"0,57",4,"1,14",0,"0,00",0,"0,00",2,"0,57",0,"0,00",36,"10,26",0,"0,00"
3,1206819208,Herzsprung,0001,237,0,131,"55,27",2,129,76,"58,91",34,"26,36",0,"0,00",0,"0,00",1,"0,78",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",12,"9,30",6,"4,65"
3,1206820005,Hohenofen,0008,241,3,145,"60,17",1,144,95,"65,97",23,"15,97",2,"1,39",0,"0,00",0,"0,00",0,"0,00",0,"0,00",1,"0,69",0,"0,00",0,"0,00",19,"13,19",4,"2,78"
3,1206820403,Holzhausen,0009,213,5,111,"52,11",3,108,77,"71,30",22,"20,37",2,"1,85",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",1,"0,93",0,"0,00",3,"2,78",3,"2,78"
3,1206820802,Jabel,0001,146,3,72,"49,32",2,70,30,"42,86",19,"27,14",3,"4,29",0,"0,00",3,"4,29",1,"1,43",0,"0,00",0,"0,00",0,"0,00",0,"0,00",14,"20,00",0,"0,00"
3,1206821609,Kantow,0001,74,1,53,"71,62",1,52,32,"61,54",15,"28,85",1,"1,92",0,"0,00",1,"1,92",0,"0,00",1,"1,92",0,"0,00",0,"0,00",0,"0,00",2,"3,85",0,"0,00"
3,1206824408,Königsberg,0001,229,5,156,"68,12",3,153,84,"54,90",36,"23,53",1,"0,65",0,"0,00",3,"1,96",1,"0,65",0,"0,00",1,"0,65",0,"0,00",0,"0,00",27,"17,65",0,"0,00"
3,1206825203,Kötzlin,0010,186,0,133,"71,51",0,133,78,"58,65",21,"15,79",0,"0,00",0,"0,00",1,"0,75",0,"0,00",0,"0,00",0,"0,00",2,"1,50",0,"0,00",20,"15,04",11,"8,27"
3,1206826403,Kyritz,0001,2055,168,1036,"50,41",18,1018,584,"57,37",167,"16,40",40,"3,93",0,"0,00",16,"1,57",9,"0,88",1,"0,10",1,"0,10",7,"0,69",0,"0,00",162,"15,91",31,"3,05"
3,1206826403,Kyritz,0002,1308,74,623,"47,63",10,613,338,"55,14",118,"19,25",35,"5,71",0,"0,00",14,"2,28",2,"0,33",0,"0,00",0,"0,00",10,"1,63",0,"0,00",74,"12,07",22,"3,59"
3,1206826403,Kyritz,0003,1476,67,781,"52,91",5,776,429,"55,28",109,"14,05",12,"1,55",1,"0,13",16,"2,06",3,"0,39",0,"0,00",0,"0,00",14,"1,80",0,"0,00",161,"20,75",31,"3,99"
3,1206826403,Kyritz,0004,2035,95,941,"46,24",11,930,547,"58,82",154,"16,56",23,"2,47",0,"0,00",22,"2,37",5,"0,54",0,"0,00",0,"0,00",9,"0,97",0,"0,00",154,"16,56",16,"1,72"
3,1206826403,Kyritz,0005,330,3,182,"55,15",3,179,119,"66,48",34,"18,99",3,"1,68",0,"0,00",4,"2,23",1,"0,56",0,"0,00",0,"0,00",2,"1,12",0,"0,00",14,"7,82",2,"1,12"
3,1206827602,Liebenthal,0001,178,0,133,"74,72",0,133,59,"44,36",56,"42,11",2,"1,50",0,"0,00",1,"0,75",0,"0,00",0,"0,00",0,"0,00",2,"1,50",0,"0,00",11,"8,27",2,"1,50"
3,1206829209,Lögow,0001,383,7,189,"49,35",2,187,126,"67,38",23,"12,30",2,"1,07",0,"0,00",5,"2,67",1,"0,53",0,"0,00",0,"0,00",0,"0,00",0,"0,00",23,"12,30",7,"3,74"
3,1206829605,Lohm,0009,214,0,141,"65,89",2,139,84,"60,43",40,"28,78",1,"0,72",1,"0,72",3,"2,16",0,"0,00",0,"0,00",0,"0,00",1,"0,72",0,"0,00",7,"5,04",2,"1,44"
3,1206830802,Maulbeerwalde,0001,165,0,112,"67,88",2,110,69,"62,73",23,"20,91",0,"0,00",0,"0,00",2,"1,82",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",16,"14,55",0,"0,00"
3,1206831209,Nackel,0001,339,2,205,"60,47",1,204,117,"57,35",57,"27,94",18,"8,82",0,"0,00",3,"1,47",1,"0,49",0,"0,00",0,"0,00",3,"1,47",0,"0,00",3,"1,47",2,"0,98"
3,1206832405,Neustadt (Dosse),0001,604,21,261,"43,21",3,258,146,"56,59",45,"17,44",10,"3,88",0,"0,00",7,"2,71",2,"0,78",0,"0,00",1,"0,39",7,"2,71",1,"0,39",29,"11,24",10,"3,88"
3,1206832405,Neustadt (Dosse),0002,499,29,303,"60,72",7,296,165,"55,74",63,"21,28",14,"4,73",0,"0,00",4,"1,35",1,"0,34",1,"0,34",0,"0,00",2,"0,68",0,"0,00",33,"11,15",13,"4,39"
3,1206832405,Neustadt (Dosse),0003,621,32,235,"37,84",2,233,135,"57,94",37,"15,88",5,"2,15",1,"0,43",1,"0,43",1,"0,43",0,"0,00",0,"0,00",4,"1,72",0,"0,00",46,"19,74",3,"1,29"
3,1206832405,Neustadt (Dosse),0004,782,20,430,"54,99",6,424,247,"58,25",93,"21,93",14,"3,30",0,"0,00",5,"1,18",4,"0,94",0,"0,00",1,"0,24",7,"1,65",0,"0,00",36,"8,49",17,"4,01"
3,1206832808,Niemerlang,0001,182,4,109,"59,89",1,108,74,"68,52",16,"14,81",1,"0,93",0,"0,00",3,"2,78",1,"0,93",0,"0,00",0,"0,00",1,"0,93",0,"0,00",12,"11,11",0,"0,00"
3,1206833202,Papenbruch,0001,226,1,109,"48,23",5,104,57,"54,81",29,"27,88",7,"6,73",1,"0,96",1,"0,96",1,"0,96",0,"0,00",0,"0,00",1,"0,96",0,"0,00",7,"6,73",0,"0,00"
3,1206833605,Plänitz-Leddin,0010,210,2,95,"45,24",2,93,49,"52,69",28,"30,11",0,"0,00",0,"0,00",9,"9,68",0,"0,00",0,"0,00",0,"0,00",6,"6,45",0,"0,00",1,"1,08",0,"0,00"
3,1206834803,Rehfeld-Berlitt,0011,371,5,206,"55,53",11,195,119,"61,03",47,"24,10",4,"2,05",0,"0,00",3,"1,54",0,"0,00",0,"0,00",0,"0,00",2,"1,03",0,"0,00",17,"8,72",3,"1,54"
