"Wahlkreisnummer 1994",AGS,Gebietskörperschaft,Wahlbezirksnummer,Wahlberechtigte,"darunter Wahlberechtigte mit Sperrvermerk",Wähler,Wahlbeteiligung,"Ungültige Zweitstimmen","Gültige Zweitstimmen",SPD,"Anteil SPD in %",CDU,"Anteil CDU in %",FDP,"Anteil FDP in %",BFWG,"Anteil BFWG in %",GRÜNE/B90,"Anteil GRÜNE/B90 in %",Bürger,"Anteil Bürger in %",DSU,"Anteil DSU in %",GRAUE,"Anteil GRAUE in %",REP,"Anteil REP in %",ÖDP,"Anteil ÖDP in %",PDS,"Anteil PDS in %",UWVB,"Anteil UWVB in %"
8,1207354401,Steinhöfel,0001,181,3,118,"65,19",1,117,55,"47,01",32,"27,35",0,"0,00",0,"0,00",9,"7,69",1,"0,85",0,"0,00",0,"0,00",1,"0,85",0,"0,00",19,"16,24",0,"0,00"
8,1207354810,Stendell,0001,227,6,133,"58,59",4,129,74,"57,36",31,"24,03",5,"3,88",0,"0,00",1,"0,78",0,"0,00",0,"0,00",0,"0,00",2,"1,55",0,"0,00",12,"9,30",4,"3,10"
8,1207355601,Stolpe/Oder,0001,251,2,122,"48,61",1,121,80,"66,12",10,"8,26",0,"0,00",0,"0,00",5,"4,13",0,"0,00",0,"0,00",0,"0,00",1,"0,83",0,"0,00",24,"19,83",1,"0,83"
8,1207356012,Storkow,0001,304,5,189,"62,17",10,179,109,"60,89",31,"17,32",6,"3,35",0,"0,00",8,"4,47",0,"0,00",0,"0,00",0,"0,00",5,"2,79",2,"1,12",18,"10,06",0,"0,00"
8,1207356805,Temmen,0001,264,8,142,"53,79",0,142,91,"64,08",27,"19,01",1,"0,70",0,"0,00",0,"0,00",1,"0,70",0,"0,00",0,"0,00",2,"1,41",0,"0,00",20,"14,08",0,"0,00"
8,1207357200,Templin,0001,1318,49,624,"47,34",8,616,389,"63,15",107,"17,37",10,"1,62",0,"0,00",21,"3,41",2,"0,32",0,"0,00",0,"0,00",4,"0,65",0,"0,00",83,"13,47",0,"0,00"
8,1207357200,Templin,0002,1335,50,736,"55,13",2,734,465,"63,35",132,"17,98",19,"2,59",0,"0,00",18,"2,45",4,"0,54",1,"0,14",0,"0,00",2,"0,27",0,"0,00",93,"12,67",0,"0,00"
8,1207357200,Templin,0003,939,28,476,"50,69",6,470,308,"65,53",57,"12,13",9,"1,91",2,"0,43",10,"2,13",0,"0,00",1,"0,21",0,"0,00",8,"1,70",0,"0,00",74,"15,74",1,"0,21"
8,1207357200,Templin,0004,594,27,241,"40,57",3,238,160,"67,23",38,"15,97",0,"0,00",0,"0,00",8,"3,36",2,"0,84",1,"0,42",0,"0,00",1,"0,42",0,"0,00",28,"11,76",0,"0,00"
8,1207357200,Templin,0005,1297,32,645,"49,73",6,639,380,"59,47",96,"15,02",13,"2,03",0,"0,00",23,"3,60",2,"0,31",1,"0,16",0,"0,00",6,"0,94",0,"0,00",118,"18,47",0,"0,00"
8,1207357200,Templin,0006,652,29,380,"58,28",10,370,203,"54,86",76,"20,54",5,"1,35",1,"0,27",24,"6,49",0,"0,00",0,"0,00",2,"0,54",4,"1,08",0,"0,00",55,"14,86",0,"0,00"
8,1207357200,Templin,0007,641,46,350,"54,60",1,349,203,"58,17",51,"14,61",8,"2,29",0,"0,00",16,"4,58",1,"0,29",0,"0,00",2,"0,57",1,"0,29",0,"0,00",67,"19,20",0,"0,00"
8,1207357200,Templin,0008,1745,49,840,"48,14",13,827,509,"61,55",110,"13,30",6,"0,73",3,"0,36",30,"3,63",4,"0,48",0,"0,00",0,"0,00",10,"1,21",0,"0,00",154,"18,62",1,"0,12"
8,1207357200,Templin,0009,1809,62,914,"50,53",15,899,559,"62,18",120,"13,35",8,"0,89",0,"0,00",28,"3,11",1,"0,11",0,"0,00",0,"0,00",10,"1,11",0,"0,00",173,"19,24",0,"0,00"
8,1207357200,Templin,0010,236,1,145,"61,44",0,145,61,"42,07",33,"22,76",0,"0,00",1,"0,69",10,"6,90",0,"0,00",0,"0,00",1,"0,69",0,"0,00",0,"0,00",39,"26,90",0,"0,00"
8,1207358412,Vietmannsdorf,0001,312,8,113,"36,22",0,113,55,"48,67",32,"28,32",2,"1,77",0,"0,00",4,"3,54",0,"0,00",0,"0,00",0,"0,00",1,"0,88",1,"0,88",18,"15,93",0,"0,00"
8,1207359602,Warthe,0001,257,2,150,"58,37",3,147,84,"57,14",31,"21,09",2,"1,36",0,"0,00",5,"3,40",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",25,"17,01",0,"0,00"
8,1207360401,Welsow,0001,78,0,34,"43,59",1,33,21,"63,64",5,"15,15",0,"0,00",0,"0,00",4,"12,12",0,"0,00",0,"0,00",0,"0,00",1,"3,03",0,"0,00",2,"6,06",0,"0,00"
8,1207360802,Wichmannsdorf,0001,296,0,186,"62,84",7,179,122,"68,16",35,"19,55",0,"0,00",0,"0,00",8,"4,47",0,"0,00",1,"0,56",0,"0,00",2,"1,12",1,"0,56",9,"5,03",1,"0,56"
8,1207361201,Wilmersdorf,0001,265,2,138,"52,08",5,133,69,"51,88",28,"21,05",2,"1,50",0,"0,00",3,"2,26",0,"0,00",0,"0,00",1,"0,75",0,"0,00",0,"0,00",30,"22,56",0,"0,00"
8,1207363201,Wolletz,0001,124,0,83,"66,94",3,80,53,"66,25",5,"6,25",2,"2,50",0,"0,00",1,"1,25",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",18,"22,50",1,"1,25"
8,1207364410,Zichow,0001,288,2,151,"52,43",5,146,84,"57,53",28,"19,18",6,"4,11",0,"0,00",0,"0,00",1,"0,68",1,"0,68",0,"0,00",0,"0,00",0,"0,00",25,"17,12",1,"0,68"
8,1207365210,Zützen,0001,147,1,84,"57,14",3,81,46,"56,79",10,"12,35",7,"8,64",0,"0,00",0,"0,00",0,"0,00",0,"0,00",1,"1,23",0,"0,00",0,"0,00",17,"20,99",0,"0,00"
9,"1,20E+09",Briefwahlbezirk,0900,0,0,1037,"0,00",8,1029,525,"51,02",207,"20,12",27,"2,62",1,"0,10",38,"3,69",5,"0,49",0,"0,00",2,"0,19",3,"0,29",2,"0,19",216,"20,99",3,"0,29"
9,"1,20E+09",Briefwahlbezirk,0901,0,0,39,"0,00",0,39,15,"38,46",12,"30,77",1,"2,56",0,"0,00",1,"2,56",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",10,"25,64",0,"0,00"
9,1207301209,Arendsee,0001,195,8,96,"49,23",1,95,57,"60,00",20,"21,05",1,"1,05",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",3,"3,16",0,"0,00",14,"14,74",0,"0,00"
9,1207301603,Bagemühl,0001,140,6,78,"55,71",0,78,38,"48,72",19,"24,36",3,"3,85",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",1,"1,28",0,"0,00",17,"21,79",0,"0,00"
9,1207302009,Beenz,0001,221,0,110,"49,77",5,105,52,"49,52",36,"34,29",0,"0,00",0,"0,00",3,"2,86",0,"0,00",1,"0,95",0,"0,00",2,"1,90",0,"0,00",8,"7,62",3,"2,86"
9,1207303606,Bertikow,0001,151,1,87,"57,62",2,85,41,"48,24",28,"32,94",0,"0,00",0,"0,00",2,"2,35",1,"1,18",0,"0,00",1,"1,18",1,"1,18",0,"0,00",10,"11,76",1,"1,18"
9,1207304804,Biesendahlshof,0001,120,4,79,"65,83",2,77,52,"67,53",9,"11,69",0,"0,00",0,"0,00",1,"1,30",1,"1,30",0,"0,00",0,"0,00",0,"0,00",0,"0,00",14,"18,18",0,"0,00"
9,1207305206,Bietikow,0001,174,1,105,"60,34",0,105,66,"62,86",21,"20,00",1,"0,95",1,"0,95",2,"1,90",0,"0,00",1,"0,95",0,"0,00",0,"0,00",0,"0,00",13,"12,38",0,"0,00"
9,1207305606,Blankenburg,0001,297,14,133,"44,78",5,128,75,"58,59",32,"25,00",0,"0,00",0,"0,00",4,"3,13",0,"0,00",0,"0,00",0,"0,00",1,"0,78",0,"0,00",16,"12,50",0,"0,00"
9,1207306011,Blindow,0001,138,3,74,"53,62",0,74,36,"48,65",20,"27,03",1,"1,35",0,"0,00",3,"4,05",1,"1,35",0,"0,00",0,"0,00",0,"0,00",0,"0,00",13,"17,57",0,"0,00"
9,1207306404,Blumberg,0001,229,0,95,"41,48",4,91,46,"50,55",25,"27,47",1,"1,10",0,"0,00",1,"1,10",1,"1,10",0,"0,00",0,"0,00",1,"1,10",1,"1,10",14,"15,38",1,"1,10"
9,1207308403,Brüssow,0001,1176,26,570,"48,47",16,554,305,"55,05",146,"26,35",7,"1,26",0,"0,00",8,"1,44",1,"0,18",0,"0,00",3,"0,54",9,"1,62",0,"0,00",73,"13,18",2,"0,36"
9,1207308403,Brüssow,0002,83,4,39,"46,99",2,37,15,"40,54",14,"37,84",0,"0,00",0,"0,00",3,"8,11",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",5,"13,51",0,"0,00"
9,1207309203,Carmzow,0001,244,5,119,"48,77",1,118,63,"53,39",37,"31,36",4,"3,39",0,"0,00",4,"3,39",0,"0,00",1,"0,85",0,"0,00",2,"1,69",0,"0,00",7,"5,93",0,"0,00"
9,1207309203,Carmzow,0002,96,0,76,"79,17",1,75,37,"49,33",24,"32,00",5,"6,67",0,"0,00",0,"0,00",0,"0,00",0,"0,00",1,"1,33",0,"0,00",1,"1,33",7,"9,33",0,"0,00"
9,1207309604,Casekow,0001,673,15,369,"54,83",6,363,203,"55,92",63,"17,36",5,"1,38",1,"0,28",5,"1,38",3,"0,83",2,"0,55",0,"0,00",5,"1,38",0,"0,00",71,"19,56",5,"1,38"
9,1207310811,Damme,0001,216,6,125,"57,87",6,119,75,"63,03",23,"19,33",4,"3,36",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",17,"14,29",0,"0,00"
9,1207311211,Dauer,0001,162,1,82,"50,62",2,80,48,"60,00",19,"23,75",3,"3,75",0,"0,00",1,"1,25",0,"0,00",0,"0,00",1,"1,25",0,"0,00",0,"0,00",8,"10,00",0,"0,00"
9,1207311611,Dedelow,0001,896,20,406,"45,31",10,396,207,"52,27",85,"21,46",0,"0,00",0,"0,00",8,"2,02",2,"0,51",0,"0,00",0,"0,00",2,"0,51",0,"0,00",92,"23,23",0,"0,00"
9,1207312411,Drense,0001,141,0,95,"67,38",3,92,41,"44,57",42,"45,65",5,"5,43",0,"0,00",2,"2,17",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",2,"2,17",0,"0,00"
9,1207312806,Eickstedt,0001,158,3,95,"60,13",2,93,57,"61,29",25,"26,88",2,"2,15",0,"0,00",1,"1,08",1,"1,08",0,"0,00",1,"1,08",2,"2,15",0,"0,00",4,"4,30",0,"0,00"
9,1207312806,Eickstedt,0002,151,0,56,"37,09",0,56,30,"53,57",10,"17,86",4,"7,14",0,"0,00",1,"1,79",0,"0,00",0,"0,00",0,"0,00",3,"5,36",0,"0,00",8,"14,29",0,"0,00"
9,1207313207,Fahrenholz,0001,151,0,88,"58,28",4,84,44,"52,38",20,"23,81",1,"1,19",1,"1,19",5,"5,95",1,"1,19",1,"1,19",0,"0,00",0,"0,00",0,"0,00",11,"13,10",0,"0,00"
9,1207313611,Falkenhagen,0001,126,2,82,"65,08",2,80,32,"40,00",40,"50,00",2,"2,50",1,"1,25",0,"0,00",0,"0,00",0,"0,00",0,"0,00",2,"2,50",0,"0,00",3,"3,75",0,"0,00"
9,1207314006,Falkenwalde,0001,302,0,164,"54,30",4,160,85,"53,13",37,"23,13",8,"5,00",0,"0,00",4,"2,50",0,"0,00",0,"0,00",0,"0,00",5,"3,13",0,"0,00",20,"12,50",1,"0,63"
9,1207314809,Ferdinandshorst,0001,95,2,69,"72,63",2,67,37,"55,22",16,"23,88",3,"4,48",0,"0,00",0,"0,00",1,"1,49",0,"0,00",0,"0,00",3,"4,48",0,"0,00",7,"10,45",0,"0,00"
9,1207317204,Friedrichsthal,0001,91,9,44,"48,35",2,42,17,"40,48",17,"40,48",2,"4,76",0,"0,00",2,"4,76",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",4,"9,52",0,"0,00"
9,1207318009,Fürstenwerder,0001,692,8,348,"50,29",5,343,182,"53,06",91,"26,53",6,"1,75",0,"0,00",13,"3,79",4,"1,17",0,"0,00",1,"0,29",0,"0,00",0,"0,00",43,"12,54",3,"0,87"
9,1207318804,Gartz (Oder),0001,787,32,430,"54,64",12,418,226,"54,07",111,"26,56",6,"1,44",0,"0,00",2,"0,48",5,"1,20",0,"0,00",3,"0,72",3,"0,72",0,"0,00",60,"14,35",2,"0,48"
9,1207318804,Gartz (Oder),0002,791,36,374,"47,28",8,366,165,"45,08",94,"25,68",20,"5,46",1,"0,27",9,"2,46",4,"1,09",0,"0,00",2,"0,55",3,"0,82",0,"0,00",66,"18,03",2,"0,55"
9,1207319204,Geesow,0001,162,1,104,"64,20",3,101,48,"47,52",23,"22,77",4,"3,96",1,"0,99",2,"1,98",0,"0,00",0,"0,00",0,"0,00",3,"2,97",2,"1,98",15,"14,85",3,"2,97"
9,1207320809,Gollmitz,0001,617,20,292,"47,33",15,277,162,"58,48",51,"18,41",2,"0,72",1,"0,36",5,"1,81",1,"0,36",0,"0,00",0,"0,00",9,"3,25",0,"0,00",44,"15,88",2,"0,72"
9,1207321611,Göritz,0001,665,14,304,"45,71",8,296,158,"53,38",77,"26,01",3,"1,01",1,"0,34",6,"2,03",0,"0,00",0,"0,00",1,"0,34",1,"0,34",0,"0,00",49,"16,55",0,"0,00"
9,1207322406,Gramzow,0001,1035,32,546,"52,75",13,533,291,"54,60",160,"30,02",21,"3,94",0,"0,00",5,"0,94",3,"0,56",0,"0,00",0,"0,00",5,"0,94",0,"0,00",48,"9,01",0,"0,00"
9,1207323604,Groß Pinnow,0001,276,25,148,"53,62",9,139,73,"52,52",47,"33,81",3,"2,16",0,"0,00",1,"0,72",2,"1,44",0,"0,00",0,"0,00",1,"0,72",0,"0,00",11,"7,91",1,"0,72"
9,1207324803,Grünberg,0001,165,0,96,"58,18",2,94,40,"42,55",38,"40,43",1,"1,06",0,"0,00",3,"3,19",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",12,"12,77",0,"0,00"
9,1207324803,Grünberg,0002,103,1,51,"49,51",2,49,22,"44,90",10,"20,41",0,"0,00",1,"2,04",2,"4,08",3,"6,12",0,"0,00",0,"0,00",0,"0,00",0,"0,00",11,"22,45",0,"0,00"
9,1207326011,Grünow,0001,314,7,187,"59,55",2,185,93,"50,27",62,"33,51",9,"4,86",0,"0,00",1,"0,54",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",20,"10,81",0,"0,00"
9,1207326811,Güstow,0001,185,3,108,"58,38",1,107,55,"51,40",32,"29,91",3,"2,80",0,"0,00",2,"1,87",1,"0,93",0,"0,00",0,"0,00",0,"0,00",0,"0,00",13,"12,15",1,"0,93"
9,1207327207,Güterberg,0001,160,1,69,"43,13",6,63,21,"33,33",27,"42,86",2,"3,17",0,"0,00",2,"3,17",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",11,"17,46",0,"0,00"
9,1207329604,Hohenfelde,0001,102,0,70,"68,63",0,70,41,"58,57",15,"21,43",2,"2,86",0,"0,00",1,"1,43",1,"1,43",0,"0,00",0,"0,00",1,"1,43",0,"0,00",9,"12,86",0,"0,00"
9,1207330006,Hohengüstow,0001,268,4,169,"63,06",5,164,81,"49,39",56,"34,15",1,"0,61",0,"0,00",2,"1,22",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",23,"14,02",1,"0,61"
9,1207330404,Hohenreinkendorf,0001,253,1,157,"62,06",3,154,85,"55,19",40,"25,97",4,"2,60",0,"0,00",0,"0,00",1,"0,65",0,"0,00",0,"0,00",2,"1,30",0,"0,00",14,"9,09",8,"5,19"
9,1207330804,Hohenselchow,0001,479,7,228,"47,60",9,219,106,"48,40",59,"26,94",2,"0,91",0,"0,00",10,"4,57",2,"0,91",1,"0,46",2,"0,91",1,"0,46",0,"0,00",16,"7,31",20,"9,13"
9,1207331211,Holzendorf,0001,126,0,73,"57,94",1,72,42,"58,33",17,"23,61",0,"0,00",0,"0,00",1,"1,39",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",11,"15,28",1,"1,39"
9,1207331211,Holzendorf,0002,74,0,42,"56,76",0,42,22,"52,38",15,"35,71",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",1,"2,38",0,"0,00",0,"0,00",3,"7,14",1,"2,38"
9,1207331607,Jagow,0001,448,4,195,"43,53",11,184,108,"58,70",35,"19,02",0,"0,00",0,"0,00",6,"3,26",1,"0,54",0,"0,00",0,"0,00",1,"0,54",0,"0,00",33,"17,93",0,"0,00"
9,1207334011,Klinkow,0001,182,0,94,"51,65",0,94,46,"48,94",28,"29,79",0,"0,00",0,"0,00",5,"5,32",0,"0,00",0,"0,00",0,"0,00",4,"4,26",0,"0,00",11,"11,70",0,"0,00"
9,1207334809,Kraatz,0001,103,0,78,"75,73",3,75,32,"42,67",37,"49,33",4,"5,33",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",2,"2,67",0,"0,00",0,"0,00",0,"0,00"
9,1207336407,Lemmersdorf,0001,451,0,210,"46,56",2,208,98,"47,12",52,"25,00",2,"0,96",1,"0,48",4,"1,92",0,"0,00",0,"0,00",1,"0,48",3,"1,44",1,"0,48",46,"22,12",0,"0,00"
9,1207336807,Lübbenow,0001,268,2,113,"42,16",3,110,49,"44,55",28,"25,45",1,"0,91",1,"0,91",1,"0,91",0,"0,00",0,"0,00",0,"0,00",3,"2,73",1,"0,91",26,"23,64",0,"0,00"
9,1207337204,Luckow-Petershagen,0001,191,0,102,"53,40",6,96,41,"42,71",43,"44,79",0,"0,00",0,"0,00",1,"1,04",0,"0,00",0,"0,00",1,"1,04",1,"1,04",0,"0,00",9,"9,38",0,"0,00"
9,1207337204,Luckow-Petershagen,0002,151,0,68,"45,03",3,65,28,"43,08",28,"43,08",0,"0,00",1,"1,54",0,"0,00",0,"0,00",0,"0,00",0,"0,00",4,"6,15",0,"0,00",4,"6,15",0,"0,00"
9,1207337603,Ludwigsburg,0001,85,0,40,"47,06",1,39,25,"64,10",6,"15,38",2,"5,13",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",6,"15,38",0,"0,00"
9,1207337603,Ludwigsburg,0002,148,1,70,"47,30",1,69,38,"55,07",13,"18,84",0,"0,00",0,"0,00",3,"4,35",0,"0,00",0,"0,00",1,"1,45",0,"0,00",0,"0,00",14,"20,29",0,"0,00"
9,1207337603,Ludwigsburg,0003,143,0,86,"60,14",5,81,45,"55,56",17,"20,99",4,"4,94",0,"0,00",0,"0,00",1,"1,23",0,"0,00",0,"0,00",0,"0,00",0,"0,00",14,"17,28",0,"0,00"
9,1207338006,Lützlow,0001,322,3,173,"53,73",8,165,92,"55,76",35,"21,21",3,"1,82",1,"0,61",6,"3,64",2,"1,21",1,"0,61",2,"1,21",1,"0,61",0,"0,00",22,"13,33",0,"0,00"
9,1207338806,Meichow,0001,251,2,152,"60,56",3,149,80,"53,69",53,"35,57",1,"0,67",0,"0,00",3,"2,01",1,"0,67",0,"0,00",0,"0,00",0,"0,00",0,"0,00",11,"7,38",0,"0,00"
9,1207339204,Mescherin,0001,300,6,157,"52,33",1,156,79,"50,64",55,"35,26",1,"0,64",0,"0,00",1,"0,64",0,"0,00",1,"0,64",0,"0,00",0,"0,00",0,"0,00",15,"9,62",4,"2,56"
9,1207340007,Milow,0001,174,0,91,"52,30",6,85,42,"49,41",25,"29,41",0,"0,00",0,"0,00",1,"1,18",1,"1,18",0,"0,00",0,"0,00",3,"3,53",0,"0,00",12,"14,12",1,"1,18"
9,1207341209,Naugarten,0001,122,1,101,"82,79",2,99,34,"34,34",57,"57,58",0,"0,00",0,"0,00",2,"2,02",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",6,"6,06",0,"0,00"
9,1207341607,Nechlin,0001,136,0,92,"67,65",3,89,57,"64,04",15,"16,85",4,"4,49",0,"0,00",0,"0,00",3,"3,37",0,"0,00",1,"1,12",2,"2,25",0,"0,00",7,"7,87",0,"0,00"
9,1207342404,Neurochlitz,0001,91,1,60,"65,93",3,57,14,"24,56",20,"35,09",1,"1,75",1,"1,75",1,"1,75",0,"0,00",1,"1,75",1,"1,75",0,"0,00",0,"0,00",16,"28,07",2,"3,51"
9,1207342809,Parmen-Weggun,0001,163,1,97,"59,51",6,91,51,"56,04",24,"26,37",1,"1,10",0,"0,00",0,"0,00",0,"0,00",1,"1,10",0,"0,00",0,"0,00",0,"0,00",14,"15,38",0,"0,00"
9,1207342809,Parmen-Weggun,0002,206,1,123,"59,71",5,118,60,"50,85",18,"15,25",1,"0,85",0,"0,00",2,"1,69",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",35,"29,66",2,"1,69"
9,1207344806,Potzlow,0001,404,5,217,"53,71",5,212,121,"57,08",53,"25,00",3,"1,42",0,"0,00",2,"0,94",0,"0,00",0,"0,00",0,"0,00",4,"1,89",0,"0,00",28,"13,21",1,"0,47"
9,1207345200,Prenzlau,0001,1036,30,559,"53,96",5,554,274,"49,46",128,"23,10",40,"7,22",0,"0,00",10,"1,81",3,"0,54",0,"0,00",2,"0,36",7,"1,26",1,"0,18",88,"15,88",1,"0,18"
9,1207345200,Prenzlau,0002,1020,46,487,"47,75",11,476,253,"53,15",118,"24,79",11,"2,31",0,"0,00",4,"0,84",6,"1,26",1,"0,21",2,"0,42",4,"0,84",1,"0,21",73,"15,34",3,"0,63"
9,1207345200,Prenzlau,0003,833,31,385,"46,22",10,375,210,"56,00",80,"21,33",6,"1,60",1,"0,27",7,"1,87",3,"0,80",1,"0,27",1,"0,27",8,"2,13",1,"0,27",57,"15,20",0,"0,00"
9,1207345200,Prenzlau,0004,1032,36,459,"44,48",11,448,273,"60,94",75,"16,74",7,"1,56",0,"0,00",10,"2,23",2,"0,45",0,"0,00",0,"0,00",8,"1,79",1,"0,22",72,"16,07",0,"0,00"
9,1207345200,Prenzlau,0005,1095,50,524,"47,85",4,520,250,"48,08",86,"16,54",11,"2,12",1,"0,19",9,"1,73",2,"0,38",0,"0,00",1,"0,19",1,"0,19",0,"0,00",159,"30,58",0,"0,00"
9,1207345200,Prenzlau,0006,1103,19,532,"48,23",5,527,261,"49,53",101,"19,17",8,"1,52",1,"0,19",8,"1,52",1,"0,19",0,"0,00",0,"0,00",8,"1,52",1,"0,19",138,"26,19",0,"0,00"
9,1207345200,Prenzlau,0007,1136,61,592,"52,11",1,591,314,"53,13",139,"23,52",18,"3,05",0,"0,00",21,"3,55",1,"0,17",1,"0,17",1,"0,17",6,"1,02",0,"0,00",88,"14,89",2,"0,34"
9,1207345200,Prenzlau,0008,1145,247,348,"30,39",3,345,175,"50,72",60,"17,39",8,"2,32",0,"0,00",4,"1,16",3,"0,87",1,"0,29",0,"0,00",5,"1,45",0,"0,00",89,"25,80",0,"0,00"
9,1207345200,Prenzlau,0009,781,37,420,"53,78",3,417,230,"55,16",97,"23,26",6,"1,44",0,"0,00",6,"1,44",1,"0,24",0,"0,00",0,"0,00",5,"1,20",0,"0,00",68,"16,31",4,"0,96"
9,1207345200,Prenzlau,0010,1214,70,660,"54,37",10,650,375,"57,69",125,"19,23",10,"1,54",0,"0,00",9,"1,38",9,"1,38",1,"0,15",0,"0,00",10,"1,54",0,"0,00",110,"16,92",1,"0,15"
9,1207345200,Prenzlau,0011,1037,37,523,"50,43",8,515,279,"54,17",110,"21,36",9,"1,75",0,"0,00",11,"2,14",2,"0,39",0,"0,00",0,"0,00",4,"0,78",0,"0,00",99,"19,22",1,"0,19"
9,1207345200,Prenzlau,0012,1328,50,600,"45,18",7,593,294,"49,58",160,"26,98",6,"1,01",2,"0,34",16,"2,70",2,"0,34",0,"0,00",1,"0,17",6,"1,01",0,"0,00",106,"17,88",0,"0,00"
9,1207345200,Prenzlau,0013,1074,48,531,"49,44",9,522,256,"49,04",100,"19,16",7,"1,34",0,"0,00",15,"2,87",4,"0,77",0,"0,00",1,"0,19",4,"0,77",0,"0,00",135,"25,86",0,"0,00"
9,1207345200,Prenzlau,0014,613,25,343,"55,95",2,341,146,"42,82",71,"20,82",5,"1,47",2,"0,59",7,"2,05",1,"0,29",1,"0,29",2,"0,59",3,"0,88",0,"0,00",99,"29,03",4,"1,17"
9,1207345200,Prenzlau,0015,1074,33,446,"41,53",9,437,241,"55,15",101,"23,11",13,"2,97",0,"0,00",8,"1,83",1,"0,23",0,"0,00",1,"0,23",2,"0,46",0,"0,00",70,"16,02",0,"0,00"
9,1207345200,Prenzlau,0016,828,22,357,"43,12",9,348,202,"58,05",84,"24,14",9,"2,59",0,"0,00",6,"1,72",1,"0,29",0,"0,00",0,"0,00",5,"1,44",0,"0,00",40,"11,49",1,"0,29"
9,1207345200,Prenzlau,0017,165,2,71,"43,03",4,67,47,"70,15",9,"13,43",3,"4,48",0,"0,00",2,"2,99",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",6,"8,96",0,"0,00"
9,1207345200,Prenzlau,0018,79,1,27,"34,18",1,26,18,"69,23",5,"19,23",2,"7,69",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",1,"3,85",0,"0,00"
9,1207345200,Prenzlau,0019,152,2,83,"54,61",4,79,45,"56,96",24,"30,38",0,"0,00",0,"0,00",1,"1,27",0,"0,00",1,"1,27",1,"1,27",0,"0,00",0,"0,00",7,"8,86",0,"0,00"
9,1207345604,Radekow,0001,104,2,68,"65,38",4,64,29,"45,31",10,"15,63",2,"3,13",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",17,"26,56",6,"9,38"
9,1207347209,Röpersdorf,0001,260,4,149,"57,31",7,142,64,"45,07",44,"30,99",2,"1,41",1,"0,70",5,"3,52",0,"0,00",0,"0,00",0,"0,00",3,"2,11",0,"0,00",20,"14,08",3,"2,11"
9,1207347604,Rosow,0001,125,4,68,"54,40",2,66,26,"39,39",15,"22,73",1,"1,52",0,"0,00",1,"1,52",1,"1,52",0,"0,00",0,"0,00",1,"1,52",0,"0,00",19,"28,79",2,"3,03"
9,1207348409,Schapow,0001,140,0,94,"67,14",2,92,29,"31,52",51,"55,43",0,"0,00",1,"1,09",2,"2,17",0,"0,00",0,"0,00",0,"0,00",2,"2,17",0,"0,00",6,"6,52",1,"1,09"
9,1207348409,Schapow,0002,333,5,170,"51,05",1,169,86,"50,89",52,"30,77",2,"1,18",0,"0,00",8,"4,73",1,"0,59",0,"0,00",0,"0,00",2,"1,18",1,"0,59",17,"10,06",0,"0,00"
9,1207348811,Schenkenberg,0001,230,2,104,"45,22",3,101,56,"55,45",23,"22,77",2,"1,98",0,"0,00",4,"3,96",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",16,"15,84",0,"0,00"
9,1207350006,Schmölln,0001,345,4,169,"48,99",1,168,83,"49,40",47,"27,98",1,"0,60",0,"0,00",1,"0,60",0,"0,00",0,"0,00",0,"0,00",4,"2,38",0,"0,00",32,"19,05",0,"0,00"
9,1207350006,Schmölln,0002,175,0,106,"60,57",1,105,51,"48,57",40,"38,10",1,"0,95",0,"0,00",1,"0,95",1,"0,95",0,"0,00",0,"0,00",0,"0,00",0,"0,00",9,"8,57",2,"1,90"
