AGS,Gebietskörperschaft,Wahlbezirksnummer,Wahlberechtigte,darunter: Wahlberechtigte mit Sperrvermerk,Wähler,Wahlbeteiligung,"Ungültige Zweitstimmen","Gültige Zweitstimmen",SPD,"Anteil SPD in %",CDU,"Anteil CDU in %",PDS,"Anteil PDS in %",BFWG,"Anteil BFWG in %","BFB-Die Offensive","Anteil BFB-Die Offensive in %",GRÜNE/B90,"Anteil GRÜNE/B90 in %",DVU,"Anteil DVU in %",F.D.P.,"Anteil F.D.P. in %",NPD,"Anteil NPD in %"
1205200000,Cottbus,0049,839,62,378,"45,05",5,373,136,"36,46",79,"21,18",112,"30,03",0,"0,00",3,"0,80",6,"1,61",25,"6,70",12,"3,22",0,"0,00"
1205200000,Cottbus,0050,752,31,293,"38,96",1,292,109,"37,33",56,"19,18",95,"32,53",0,"0,00",0,"0,00",4,"1,37",17,"5,82",6,"2,05",5,"1,71"
1205200000,Cottbus,0051,963,34,323,"33,54",4,319,119,"37,30",63,"19,75",87,"27,27",4,"1,25",0,"0,00",8,"2,51",28,"8,78",9,"2,82",1,"0,31"
1205200000,Cottbus,0052,941,63,426,"45,27",2,424,181,"42,69",104,"24,53",91,"21,46",0,"0,00",3,"0,71",2,"0,47",31,"7,31",10,"2,36",2,"0,47"
1205200000,Cottbus,0053,951,21,417,"43,85",3,414,186,"44,93",83,"20,05",105,"25,36",1,"0,24",1,"0,24",0,"0,00",27,"6,52",9,"2,17",2,"0,48"
1205200000,Cottbus,0054,889,31,358,"40,27",6,352,152,"43,18",61,"17,33",110,"31,25",1,"0,28",1,"0,28",2,"0,57",19,"5,40",3,"0,85",3,"0,85"
1205200000,Cottbus,0055,892,59,292,"32,74",5,287,114,"39,72",60,"20,91",82,"28,57",1,"0,35",0,"0,00",2,"0,70",22,"7,67",2,"0,70",4,"1,39"
1205200000,Cottbus,0056,942,60,439,"46,60",3,436,187,"42,89",98,"22,48",117,"26,83",1,"0,23",1,"0,23",5,"1,15",21,"4,82",6,"1,38",0,"0,00"
1205200000,Cottbus,0057,913,41,431,"47,21",4,427,171,"40,05",88,"20,61",134,"31,38",1,"0,23",1,"0,23",6,"1,41",24,"5,62",1,"0,23",1,"0,23"
1205200000,Cottbus,0058,1030,61,541,"52,52",1,540,194,"35,93",163,"30,19",113,"20,93",2,"0,37",2,"0,37",17,"3,15",20,"3,70",27,"5,00",2,"0,37"
1205200000,Cottbus,0059,1208,97,601,"49,75",7,594,225,"37,88",172,"28,96",137,"23,06",3,"0,51",3,"0,51",8,"1,35",28,"4,71",18,"3,03",0,"0,00"
1205200000,Cottbus,0060,982,92,539,"54,89",8,531,247,"46,52",105,"19,77",127,"23,92",0,"0,00",1,"0,19",7,"1,32",29,"5,46",11,"2,07",4,"0,75"
1205200000,Cottbus,0061,927,71,407,"43,91",4,403,189,"46,90",91,"22,58",85,"21,09",0,"0,00",2,"0,50",9,"2,23",15,"3,72",9,"2,23",3,"0,74"
1205200000,Cottbus,0062,1044,81,486,"46,55",2,484,211,"43,60",132,"27,27",105,"21,69",1,"0,21",2,"0,41",7,"1,45",13,"2,69",12,"2,48",1,"0,21"
1205200000,Cottbus,0063,1240,99,573,"46,21",8,565,240,"42,48",121,"21,42",142,"25,13",0,"0,00",0,"0,00",27,"4,78",19,"3,36",14,"2,48",2,"0,35"
1205200000,Cottbus,0064,1056,129,544,"51,52",1,543,209,"38,49",93,"17,13",208,"38,31",1,"0,18",0,"0,00",8,"1,47",16,"2,95",8,"1,47",0,"0,00"
