WKNR,AGS,Gemeindename,Wahlbezirksnr.,Wahlberechtigte,Wähler,"Wahlbeteiligung in Prozent","Wahlberechtigte ohne Sperrvermerk","Wahlberechtigte mit Sperrvermerk","Wahlberechtigte nach WO","Wähler mit Wahlschein","Ungültige Stimmen","Gültige Stimmen",SPD,CDU,PDS,DVU,GRÜNE/B90,FDP,AfW,AUB-Brandenburg,DKP,GRAUE,FAMILIE,50 Plus,JA,Offensive D,BRB,Einzelbewerber
034,"1,21E+07",Oberbarnim,0004,404,202,"50,00",393,11,0,0,5,197,77,41,62,0,6,9,2,0,0,0,0,0,0,0,0,0
034,"1,21E+07",Podelzig,0001,791,441,"55,75",758,33,0,0,20,421,86,115,164,0,7,7,19,0,0,0,0,0,0,23,0,0
034,"1,21E+07",Rehfelde,0001,1262,707,"56,02",1062,200,0,0,36,671,159,152,284,0,29,18,19,0,0,0,0,0,0,10,0,0
034,"1,21E+07",Rehfelde,0002,1181,607,"51,40",1105,76,0,0,19,588,153,135,223,0,14,21,23,0,0,0,0,0,0,19,0,0
034,"1,21E+07",Rehfelde,0003,285,134,"47,02",281,4,0,0,10,124,25,41,34,0,2,9,8,0,0,0,0,0,0,5,0,0
034,"1,21E+07",Rehfelde,0004,421,217,"51,54",421,0,0,0,5,212,53,46,86,0,12,4,7,0,0,0,0,0,0,4,0,0
034,"1,21E+07",Rehfelde,0005,300,154,"51,33",294,6,0,0,10,144,38,34,51,0,7,5,6,0,0,0,0,0,0,3,0,0
034,"1,21E+07",Rehfelde,0006,349,187,"53,58",349,0,0,0,9,178,48,46,66,0,7,4,3,0,0,0,0,0,0,4,0,0
034,"1,21E+07",Reitwein,0001,431,271,"62,88",413,18,0,0,18,253,60,74,69,0,8,7,17,0,0,0,0,0,0,18,0,0
034,"1,21E+07",Seelow,0001,1092,506,"46,34",1031,61,0,0,20,486,117,127,173,0,4,23,19,0,0,0,0,0,0,23,0,0
034,"1,21E+07",Seelow,0002,1099,554,"50,41",1007,92,0,0,20,534,104,115,243,0,8,24,20,0,0,0,0,0,0,20,0,0
034,"1,21E+07",Seelow,0003,1124,603,"53,65",1035,89,0,0,18,585,106,159,257,0,12,15,20,0,0,0,0,0,0,16,0,0
034,"1,21E+07",Seelow,0004,1122,531,"47,33",1042,80,0,0,17,514,142,110,215,0,8,13,16,0,0,0,0,0,0,10,0,0
034,"1,21E+07",Seelow,0005,210,112,"53,33",193,17,0,0,5,107,8,26,49,0,0,7,5,0,0,0,0,0,0,12,0,0
034,"1,21E+07",Seelow,0006,362,192,"53,04",336,26,0,0,13,179,39,31,67,0,2,2,5,0,0,0,0,0,0,33,0,0
034,"1,21E+07",Treplin,0001,356,228,"64,04",347,9,0,0,4,224,47,82,69,0,6,9,7,0,0,0,0,0,0,4,0,0
034,"1,21E+07",Vierlinden,0001,358,223,"62,29",340,18,0,0,3,220,52,44,96,0,6,8,12,0,0,0,0,0,0,2,0,0
